	时间	踩	赞	评分	所看话数	内容
大概是一只榆鱼	1539255812	0	0	10	13	很有脑洞的番，喜欢！！
意风之名	1539255566	0	0	10	13	我爱这部动漫
达康兔子	1539250667	0	0	10	13	虽然她会迷路，但她的心不会迷失方向。
喷水杰尼粉丝后援会	1539245883	0	0	10	13	从很久之前的漫画到现在！满分满分满分！非常优秀的动画了
小点巅233oO	1539244092	0	0	10	13	猴台
每天吸一口	1539243457	0	0	10	13	完结撒花啦~
kane_king	1539242827	0	0	10	12	很棒的科普，万物皆可萌
糖球啊啊啊	1539242325	0	0	10	13	超级奈斯！
poemz	1539232203	0	0	10	13	喜欢可爱的画风，喜欢红白之间的革命友情，希望还有下一季
好睡的妖	1539231795	0	0	10	13	这部番真的超好看！不管是冒失经常迷路的红细胞，沉默实力宠妻的白细胞，笑容满面的巨噬细胞，还是暴力兄贵的T细胞，活力满满的B细胞，腹黑的树状细胞，萌萌哒的血小板等等，都让人很印象深刻，希望能有下一部出来
kona酱丶	1539229144	0	0	10	8	挺好看的，就是这个强制评论我关不掉
好大一颗忘忧糖吖	1539228868	0	0	10	13	谢谢让我遇到白赤那么好吃的cp
给你讲我就叫这个	1539225879	0	0	10	13	点燃了我久违的生物知识( ????? )
TF1241	1539224234	0	0	10	13	非常值得一看番，科普了很多知识，寓教于乐，加油＾０＾~
MrDAISY_WANG	1539223059	0	0	10	13	太好看啦啊啊啊啊啊!!!!!没看够啊啊啊啊啊啊啊!!!!!!
智代的樱花树	1539220462	0	0	10	13	看就完事了
清水不果腹	1539220305	0	0	10	12	看完表示出中文配音可以给自己孩子看看。
菠萝萝白	1539219759	0	0	10	13	温暖又感动。
初懿	1538898409	4	0	10	13	这么好的创意 为什么再不多出几集(? ? ??)
叶樱w	1538476737	9	0	10	13	是来学生物的哦(严肃脸x 讲真生物知识在高中以上 才不是来看血小板和磕红白糖的呢(x 不过 到最后竟然泪目了呢 每一个细胞真的都在好努力好拼命地维护这个身体的稳态呢 所以呀 如果可以的话 请好好活着哦
NC小马	1537094747	1	0	10	13	各位生物学家们，你们生物成绩是否因为这部番而提高了10分呢嘻嘻嘻
木木0108	1539212299	0	0	10	12	我也是一名医学生，从来没追过番，工作细胞是我第一部追的并且追完的番(*^ω^*)
安全的伪像	1539201243	0	0	10	13	快出第二季吧，哇咔咔(??｀*)
雾雾家的蓝白条纹胖次	1539197595	0	0	10	13	寓教于乐，很棒，加油
BL小夜	1539190940	0	0	10	13	这个动漫非常棒！本来就喜欢生物，这个动漫也帮助了不少，总之，感谢陪伴，感谢相遇。
就是咯您来咯虹魔咯莫空间	1539190049	0	0	10	13	超好看(??ω??)?
一瓶98年的老干妈	1539189176	0	0	10	13	科普动漫好评，还有我就想知道这个是怎么了
尼克里	1539189080	0	0	10	13	很好看！
蹦蹦跳跳停不下来	1539188989	0	0	10	13	搞笑又不失理性，科普中又带有趣味。一部十分优秀的番剧
暗夜的精灵使	1539188803	0	0	10	1	不错哦
白濯玉	1539187994	0	0	10	13	完结撒花。舍不得白哥和大家，qwq谢谢你们这么努力，我也会努力保护自己身体的。
大大大小学生	1539186961	0	0	10	13	很有意义的动漫啊
LittleMegan酱	1539186605	0	0	10	13	能把复杂的生物知识转化成动漫形式，优秀！
北辰天罡星	1539186203	0	0	10	11	不错，比那些校园青春恋爱的好多了
刘昊然小李子我选谁	1539186126	0	0	10	13	好看，既搞笑又感人，同时还起到了科普的作用，在讲故事的同时告诉身体知识，非常有趣又好看的番
最强萌王	1539185713	0	0	10	13	很好看，非常有教育意义，希望出第二季
木之香	1539184794	0	0	10	5	我是文科生，但是从小就喜欢看各种科普，尤其喜欢生物。这部番光看每一回的名字就引起了我追的欲望，用有趣的方式让更多人了解生物知识真是很棒呢。生命神秘而神奇，这样的故事，还有很多很多。而你，又想到什么呢？
无敌江	1539184352	0	0	10	13	太精彩了，愉悦感动萌点日常并存的神番，还能学到人体知识哦！
余亲木	1539184288	0	0	10	13	让我知道，劳资并不孤独。。
复活的变态天才少女	1539183443	0	0	10	13	镇站之宝新篇章
C-Ryan-Q	1539182153	0	0	8	12	体彩很新颖
涂山苏苏か	1539180652	0	0	10	13	特别好看的番剧，5星好评
少妇爱少女	1539180265	0	0	10	13	很有意思的科普动画，人物自带萌点，喜欢！突然觉得要好好运动了耶
永恒疾风命运	1539180087	0	0	10	13	《工作细胞》十分好看。用可爱的动画来教授十分有益的知识，也让我们可以更好的了解自己的身体，希望这一类的番可以多出点。
还我那包忧伤的辣条	1539179453	0	0	10	13	好评好评好评
moyuxiao	1539178180	0	0	10	13	日常暖心，很喜欢，也很暖
蘸星点天衣	1539176667	0	0	8	5	可以说是非常的寓教于乐了
C_ying_	1539175651	0	0	10	13	完结撒花~~一开始看这部番，觉得作者的想法很新奇，很有创意呀~~然后慢慢看下去，满满的感动，感动身体里有这么多努力工作的细胞呢！！！炒鸡棒的一部番
轻吟-	1539174797	0	0	8	13	从来没追过日漫的我，人生中第一次追完了一部，真的特别好，又有趣又有科普，希望能有第二部
阿正是个小可怜	1539173673	0	0	8	13	学药的表示很受用了。。。啊啊啊啊啊，癌细胞好帅
步迈太大必扯蛋	1539173250	0	0	10	13	超喜欢这部动漫啊，期待第二部，如果我的外科书也能变得这么可爱我会开心死的，动漫带着知识让我的小妹妹也学到了很多啊，就喜欢这种带有普及知识的动漫了，学习休闲两不误，哈哈哈
CCVG007	1539173201	0	0	10	13	很不错的一部番，赞
空城丿厮守	1539173186	0	0	10	13	原来，我并不孤独呐(*^__^*)
萌hClover	1539172219	0	0	10	13	表白白赤表白全员！感谢大家的陪伴！虽然是文科生但还是超爱这部番啊！！！
小林家的尾巴肉-	1539171232	0	0	8	4	科普番好评
酒Ghost	1539170851	0	0	10	13	超棒的一部动漫，只可惜出的有点晚要是在我初高中的时候就出来生物也不至于那么难学（=?口｀=）
陆蝶和二号	1539170186	0	0	10	13	超好看
一只可怜的蠢非	1539169189	0	0	10	13	白细胞和红细胞好甜啊!我的细胞都能谈恋爱，我为什么还没有女朋友啊!!!o(?^｀)o
远离尘嚣的阿瓦隆	1539167809	0	0	10	13	必须五星不解释
把酒临风问青天	1539167089	0	0	10	13	恭喜完结啊啊啊啊！！
一直在说我么	1539166678	0	0	10	13	233333
Steve-Rogers	1539166567	0	0	10	13	好看，有科普性质
欲彰啊	1539163591	0	0	8	13	不太喜g女主
duangxue	1539163476	0	0	10	2	血小板好可爱，最爱巨噬细胞大姐姐了
拉个狼日中值定理	1539163463	0	0	10	13	emmmm，很强
申十颗	1539163239	0	0	10	12	喜欢死了，涨知识了，以后要好好保护自己
p易折腰的竹子	1539163018	0	0	10	13	好看!!
不思乡的李白	1539161546	0	0	10	13	以科普为**，将观众的盲点秒杀的一干二净。活力，有创意，感动，有泪点。今天也辛苦各位了
寒水沙	1539161330	0	0	10	13	好久没有……看过……这么正经的番惹……
wtt1949	1539160328	0	0	10	13	用充满趣味的方式科普，很喜欢。感谢我的身体今天也努力生活
翩翩与君子	1539159799	0	0	10	12	高举白红大旗！！
言子归	1539159153	0	0	10	13	有科普意义，不错的动画
喃之未茗	1539159131	0	0	10	13	具科普乐趣和治愈一体的好作品。故事节奏也超棒，稳的一批！一点点小缺点不影响我给她满分！感谢你们！工作细胞！我会认真珍惜身体哒！！！
zz腐女钻地消失	1539158039	0	0	10	13	咸鱼的我只会说666
コアラsama	1539156931	0	0	10	11	完结了吗好舍不得啊希望还能有二期！！！！！！！！！！！！！
阿卿是个小透明	1539154868	0	0	10	2	超棒der！
吊巴	1539154741	0	0	10	4	寓教于乐
景隽	1539154632	0	0	10	13	寓教于乐型的，看完真的是想着要好好注意健康啊~
帝释小白	1539153988	0	0	10	13	多谢款待！
海望天	1539152036	0	0	10	13	好看！
被绑架の蘑菇	1539151508	0	0	10	13	好久没有看到这么好看的科普动画了
樱花sndx	1539150643	0	0	10	2	谢谢你们为了我那么勤劳的工作！今天工作也辛苦了！
V岚咩咩	1539149740	0	0	10	13	好久没有看完一整部番了( ? ?ω ??)感觉超级棒，感觉真的很真实，并且很可爱，我想信细胞都有着自己的生活与情感，我想这部番给我带来的不仅是知识与开心，更有自己对身体的珍惜，完结撒花，谢谢陪伴。∠※
过户费功夫	1539148566	0	0	10	13	看过最好看的一部番，白血球的帅气，红细胞的敬业，最后，为什么红细胞和白细胞没有成为一对啊(??ˇ_ˇ??:)（PS:血小板是我的(?>?<?)）
一罪恶王冠一	1539148402	0	0	6	13	女主-1  血小板-1   我只觉得我的红细胞和血小板这样 我大概早挂了 没了
MC结发受长生	1539147947	0	0	10	13	特别好的科普狗粮番，强烈推荐
谈什么梦想	1539147650	0	0	10	13	好暖好有爱！
依凌幽梦	1539147258	0	0	10	2	提高学习生物的兴趣233
叶修修与抖森森	1539146772	0	0	10	13	完美
奔向大海的阳光男孩	1539145658	0	0	10	13	贼棒
Marui-Taki	1539145222	0	0	10	13	超级喜欢了，希望会有第二季 ＼(*TT*)／
血族少女	1539143979	0	0	10	11	感谢工作细胞让我了解了生物必修三（？？？？）
喝着醋的酱油瓶	1539142294	0	0	10	12	好可爱！
名もないの	1539139612	0	0	10	13	好看，科普番中的战斗机
千年的独奏	1539138379	0	0	10	13	白细胞护妻狂魔，我给满分！
丿团长大人丶	1539137155	0	0	10	13	出！第二季！第二季！
偶像剧看多了吧	1539136055	0	0	10	5	非常好的动漫，边吃泡面边看很有感觉。。
吾家先生	1539135894	0	0	6	5	在创新方面算是一部好番，但看到后期感觉过于偏卖萌撑人气，制片人应当在剧情的建构上更加下功夫才行。
某不科学的蕉电磁炮	1539134448	0	0	10	13	血小板萌王预定
四处瞎逛逛	1539134217	0	0	10	13	赞赞赞！
陆离卿	1539133544	0	0	10	13	不敢生病了
淡水章鱼	1539049349	1	0	10	13	我看过最好看的教育番，没有之一
今天有好好学习吗	1539048805	1	0	10	13	超级棒
寂静北原	1539043941	1	0	10	13	很棒的一部番剧。如果能够再多拍几集，故事情节设计再复杂一些，跌宕起伏一些就好了。是一部难得的科普类漫改。
被狗日过的夏天	1538992067	2	0	10	13	看完啦，希望大家都要好好活着，认真活着，努力活着。毕竟细胞都如此努力！最后祝愿大家都能找到可以陪着一起进步一起共渡难关的另一半(?>ω<*?)
兮浮梦	1538887424	3	0	10	13	泪目
阵雨方程式	1538356830	9	0	10	13	番很不错，毋庸置疑。印象也很深刻，不过，就是太深刻了，以至于每次生物课都能想到白细胞，红细胞，血小板，巨噬细胞。。。。心情复杂。。。(不过很开心)
阔乐血碧	1534038899	0	0	10	10	好看好看！！！！！！！
纯牛奶sss	1532250929	0	0	10	13	坐等第二季
一切等于零	1531765858	2	0	10	13	期待第二季
Kylin莫殇	1531283540	0	0	10	13	谢谢细胞们那么努力的维护着我们的身体！！！
紫月幻羽	1539129217	0	0	10	13	好看~
果夏momo	1539127152	0	0	10	13	真的是超级棒！告诉白血球，我爱他！
濑绘Gord	1539113748	0	0	10	13	天天熬夜的我表示对不起你们啊，迷路红、白哥哥、可爱的血小板，T军团、美丽的巨噬、绿帽哥、发明家b，肥大黑丝小姐姐、行者艾伦、气候学家、还有我喜欢的闰土少女。每一次熬夜都不知牺牲多少，我能说的只有对不起
凉凉凉的蜂蜜	1539112316	0	0	10	12	好看不错
Ying_YH	1539106698	0	0	10	13	挺好看的～
薯片薯片牛奶	1539105138	0	0	10	13	我当年要是有这个番我生物能考一百！！！十二集本来觉得女主太不靠谱好感度下降了，十三集又升起来了！！每天都有这么多细胞努力工作为了让你活下去，所以大家要开开心心的好好生活下去啊！！希望大家幸福(つд?)
一封纸书叠三年梦	1539103032	0	0	10	13	我觉得真的是给我们大概科普了很多东西。学会了很多一些知识。
kiss星233	1539102637	0	0	10	13	超级好看的一部番???!(??????)?
流浪花心人	1539102533	0	0	10	13	很好看，我是被安利的，看起来就停不下来了，通过拟人化的手法，表现出细胞在人体中的各个功能，每个细胞都有其鲜明的特性，各自的职责。容易让人理解，是个很新颖的动漫题材。
蛇忻巫拥拿ㄅ	1539102456	0	0	10	13	真的是七月良心番啊，让人更清楚的认知自己的身体。血小板也超级可爱～
有妖气huahua	1539102432	0	0	10	12	看完了感觉好治愈，要好好爱惜身体不让我的细胞们太辛苦.然后就是完结撒花啦！
织田信武	1539102045	0	0	8	13	这部动漫让我更清楚知道自己的身体
高贵冷艳的喵星人	1539100712	0	0	8	13	科普非常有趣，但剧情一般般吧！
长明前辈	1539100437	0	0	10	13	我......恐怕我无论如何也治不好我抑郁的一面，一点消极的渲染总会使我整宿整宿睡不着觉。我的细胞们大概也会因我大起大落的情绪而不太高兴吧，我实在不知道是我生错了地方还是我已丧失了做人的资格.....
木木芳华	1539100186	0	0	10	13	非常好看，每个细胞都很好，最后感谢我身体里勤勤恳恳工作的细胞们！！
漓墨丿	1539099655	0	0	10	13	这是一个很不错的番剧，里面的内容设置的都不错。
甜甜阿圈OvO	1539099555	0	0	10	12	非常非常治愈的一部动漫！
剥皮的健将	1539099318	0	0	10	13	五星好评，给题材和创意。（顺便今天去献血，谷丙转氨酶指标生理性超标，很难受）
安清酒cy	1539099068	0	0	10	13	最后也太感动辽罢呜呜呜，不管身体外面临多大的困难挫折，在身体里还是有一群细胞永远支持不放弃你，想到这里，好温暖啊呜呜呜
铁骨铮铮远坂凛	1539098745	0	0	10	13	好看不解释
残念DEATH	1539098226	0	0	10	13	完美的设定，完美的故事，完美的结局，完美的狗粮
LuckyJayce	1539097974	0	0	10	13	画风暖心，还自带科普，好番，不多说。
叽叽叽叽啾啾啾啾	1539097924	0	0	10	13	你的身体有着无数个细胞为你工作着，请好好照顾自己！
幻羽-公爵	1539097693	0	0	10	13	好好爱自己，毕竟还有这么多细胞这么努力工作为你而活。
朝阳本命	1539097426	0	0	10	13	虽然经费捉急画面时常崩坏，但还是将“寓教于乐”诠释得非常好的作品，白红真的很甜！
sukee233	1539097380	0	0	10	13	满分
呛呛2333	1539097302	0	0	10	13	虽然你们在谈恋爱(?°з°)-，但我还是                                 愉快的吃完了狗粮
toyosang	1539096726	0	0	8	13	题材新颖，医学知识还能这么玩，后面就感觉无聊了点，血小板萌的过分了，后面戏份再多点就好了。
breadtreehehe	1539096382	0	0	10	13	科普向暖心番，看了想去献血~
低调茉糖	1539096273	0	0	10	13	看的很开心
惊吓熊猫人	1539095598	0	0	8	13	真的不错，值得一看
来自火星的朱朱朱	1539095205	0	0	10	13	努力工作的细胞们 辛苦啦 感谢陪伴 最后我泪目了55555....
光速ai	1539094156	0	0	10	13	赛高
家里蹲的ガヴリ	1539094110	0	0	10	13	好看，不解释
未遗忘什么	1539094078	0	0	10	12	嗯，很棒
云禹州	1539093886	0	0	10	13	完结撒花！血小板赛高！表白树突和巨噬细胞！
dean时雨	1539092654	0	0	10	13	追完啦，起初确实是因为血小板看的，太可爱啦。但是看以后发现每个细胞都好可爱，各司其职，感谢生命的伟大。
浮灯游	1539091333	0	0	10	13	工作细胞赛高
海南胖老鼠	1539090784	0	0	10	13	很好的一部动漫很期待续集
小兄贵啊	1539089536	0	0	10	13	题材不错
未成年的油条	1539088606	0	0	10	13	好看
请叫我蛋总	1539088285	0	0	10	13	很棒啊
我想中奖啊qwq	1539087180	0	0	10	13	他们啥时候结婚啊。
mahandy	1539084861	0	0	10	13	为了三十七兆两千x3(父，母，自己)个永远支持的细胞，雄起啊！
小小小洱	1539084582	0	0	10	13	好可爱的一部番，在我们身体里也有个大世界呢，科普与趣味并存啦
暗影议会狗蛋	1539083686	0	0	10	13	太棒了，又萌，又科普
乱0世0小0熊	1539082852	0	0	10	13	好看的一匹，满分不解释，点赞
可爱曼孚茶	1539082627	0	0	10	13	啊哈哈学到了好多知识呢，以及，在我身体里的工作细胞们你们辛苦了！感谢你们！
QQCFA	1539081970	0	0	10	13	寓教于乐，是不可多得的好番⊙⊙
朕要吃辣	1539080965	0	0	10	13	会不会有第二季呀
羁绊の声	1539080892	0	0	10	13	血小板好萌啊！！！萌我一脸！
xd殇	1539080542	0	0	10	13	很好看的动漫，又有科普知识，非常良心
哎嗨OVO	1539079696	0	0	10	13	涨姿势，高水平制作。欢乐，感动。五星好番~
啦啦啦啦啦哈哈哇	1539079490	0	0	10	13	某天看到舍友在看，昨天有点无聊找来看一下，发现好好看。超级爱白细胞跟红细胞。
明明是我的名字	1539079078	0	0	10	13	很棒哦，期待后续。
冥想_喵喵患者	1539078931	0	0	10	13	太好看了！！粉上树突细胞和白血球了！！这个番还提高了我的生物知识！
谧密祢	1539076247	0	0	10	13	十分奈斯
圣☆星痕	1539075686	0	0	10	12	完美
拟好嘛	1539075356	0	0	10	13	期待第二季吧，这种老少皆宜的动漫是真的看一部少一部
mulmul莫	1539073363	0	0	10	13	很棒的科普番
为何这么饿	1539071262	0	0	10	13	霸权，不解释
隔壁的小屁孩儿	1539071106	0	0	10	11	不错，血小板卡哇伊
如果语言相通就好了	1539071018	0	0	10	8	看不到血小板了！
jw四世	1539069953	0	0	10	13	向我身体里的每一个细胞表示衷心的感谢！
saborr	1539069436	0	0	10	6	科普向，不错
沧蓝君	1539068687	0	0	10	13	七月番唯一每周守着更新的就是你了，完结了真的超不舍…看完后真的有一种生命不易 好好活着的感慨，然后血小板真的敲可爱啊！想捏脸脸！最后！请不要在我身体里谈恋爱！
软软的果达	1539068152	0	0	10	13	5星。。。。。。。
妖童媛女媛	1539065795	0	0	10	13	可爱(?? . ??)，元气满满
江河济世风吹远	1539065518	0	0	10	13	好！真好！
叶舟w	1539064106	0	0	10	13	是真的很好看。
Konkeykia	1539063835	0	0	10	13	好看
烽一般的骚年	1539063760	0	0	10	10	很日常
Bai_Xia	1539063101	0	0	10	13	简单点:好看，学到了！
卫离墨	1539062545	0	0	10	13	这是我追过的最有意义的番，在生活中我们也许会迷路，但心永远不会迷失方向，高三了，最后一年，我会细胞们一样不放弃，哪怕希望渺茫，干巴爹！
酒心泡沫	1539062163	0	0	10	13	不会写评论，我只能简单的说一句很高兴能遇见你――工作细胞
龙妖帝	1539061981	0	0	10	13	良心制作 长知识了
我可以的我可以的	1539061461	0	0	10	12	看完番的我都会想着锻炼好身体哈哈哈哈，体内的细胞都这么努力的工作，那我也要好好的活下去啦
老子又回来啦	1539061215	0	0	10	12	近几年难得让人抱有尊敬之心的番，很好
静默ing	1539060918	0	0	10	13	感谢这部神奇的科普番
-Frisk-	1539060110	0	0	10	13	真的是很优秀的动漫啊～
改介火	1539059526	0	0	10	12	吃爆白赤！杀手T真是个神奇的存在哈哈哈哈哈(?ω?)
陈沽骨	1539059250	0	0	10	13	好看
Ahhhhff	1539058985	0	0	10	13	超好看，学到知识有懂得道理，很暖的一部番
虚伪的血小板	1539058913	0	0	10	13	创意人体
予宇一点都不拗口	1539057261	0	0	10	13	很棒的番，很甜也很热血鸭233向体内一直工作的细胞致敬！细胞还在努力，我们也不能放弃呀！
dfhgbnmdf	1539057096	0	0	10	13	完结撒花，感谢陪伴
这里萝莉控一枚	1539055614	0	0	10	13	B站弹幕还是那么感人
瑞萌萌家小萌	1539052743	0	0	10	12	太短了，啊啊啊啊啊啊啊啊啊啊阿啊啊
可不可以给我胖次	1539052578	0	0	10	13	好看
吾等乃大宇宙意志	1539051505	0	0	10	13	看着挺不错的，后两集看着挺感动
毅泽至诚心	1539050229	0	0	10	13	我的内心永远爱着血小板
X-瞳影	1539040807	1	0	10	7	我永远喜欢工作细胞。
纷乱不休	1539023048	1	0	10	13	感觉看了以后让我懂得了不少知识但是-.-我的细胞在我这秀恩爱真的好么
百思不得萝莉妹	1539022971	1	0	10	13	科普知识。。。。
猫玖子子	1539020697	1	0	10	13	喜欢喜欢
CVICTORIALXY	1539019516	1	0	10	13	完结撒花，这部番真是好看，现在播放量都有1.3亿了。而且这还是我追的第一部新番呢。
草仙子在上	1539019094	1	0	10	13	或许她经常迷路，但她的心从不迷失方向
rattit0	1538889113	0	0	8	13	寓教于乐，还不错
何如天性凉薄	1532250758	0	0	10	13	全部看完啦
丶菲布理	1539019086	0	0	10	13	为了自己，好好地活下去！
重生的触手	1539018720	0	0	10	13	好啊
肖嵩庶要多吃肉	1539018196	0	0	10	13	向所有细胞致以最高的敬意！
瞬踢秒神	1539018173	0	0	10	13	这也太好看了吧…
羽观兰浅笑如醉酒	1539016486	0	0	10	13	这是我看过的最励志的动漫了d(???)?~
龟神V	1539016166	0	0	10	13	超棒的动漫，学习了很多知识对身体的细胞也了解了很多！是今年最喜欢的动漫啦！爱血小板 爱白细胞
v绯色之空v	1539015893	0	0	10	13	向我身体里的全体细胞致敬，辛苦了！       血小板真可爱c(爱??‘爱)ノ
崩吧达拉	1539015872	0	0	10	13	人活着就是为了血小板！贫穷使我今天与你们相遇，香菜赛高！
中单或者躺	1539015583	0	0	10	13	超级棒!  又笑有感动也有糖!    还可以更好的了解我们自身   身体内的细胞都这么努力  我怎么可以懒惰!
闪绿电箭侠	1539015231	0	0	10	13	非常好看，希望能出第二季
鹫尾须美是勇者	1539015155	0	0	10	13	非常好的一部动漫，里面的血小板特别可爱我很喜欢，真心希望出第二季。
天起P舞x情	1539013658	0	0	10	12	新的视角，完美的科普，有趣的故事设定。
苏夏GY	1539013272	0	0	10	13	超级棒，啊啊啊啊啊啊啊啊，稀饭稀饭
龙兰静	1539013106	0	0	10	13	良心作品，值得一看
无极易no.1	1539012992	0	0	10	13	非常好看，科普也很到位，是一部很优秀的番
为什么我改不了昵称啊	1539012554	0	0	10	13	追到完结，在此留念
玄青狼龙	1539012359	0	0	10	13	好番，看就完事。
妹妹饿了马	1539012275	0	0	10	13	这部番告诉我我还是单身可我的细胞在谈对象而且怎么都拆不开。真好。
终将是自己	1539012182	0	0	10	13	嘛，看完突然觉得身体里这些细胞好有趣，都不敢让自己受伤了(?B`B?)
暝仪曦	1539012099	0	0	10	13	非常不错o(RvQ)o
这是一个正经的智障尧	1539011467	0	0	10	13	今天也要努力！
风与飞舞	1539011343	0	0	10	13	用动漫的方式科普细胞们怎样在我们身体里工作真的很棒，比拿着生物书上课好多了
神神叨叨の染柒	1539010564	0	0	10	13	爱自己…  才是更好的爱你
酒气谢蓬门	1539010353	0	0	10	13	很好看，教会了我很多，希望能出第二季d(`?ω??)b赞
黑色的筷子	1539010168	0	0	10	13	我觉得还行
仔细端详	1539009663	0	0	10	13	从没看过这么好看的动漫 加油！希望能做更多像工作细胞这样好的动漫
顾於尘	1539009581	0	0	10	13	超棒的一部番，边看边学而且趣味性强，越看越想看下去，但是也会使自己记住很多的知识
万方发展	1539008596	0	0	10	13	爱惜自己
一条想要一抹多的阿作	1539007546	0	0	10	13	有嘎达带哟！
墨染寒圭	1539006794	0	0	10	13	最喜欢中性粒细胞U-1146，白哥超级帅！
邪恶的NewLine	1539006430	0	0	10	13	无可挑剔
一起收不锈钢盆吗	1539005396	0	0	10	13	从排行榜上看到第一（工作细胞）独特的名字吸引了我。看番长知识何乐而不为呢，配上完美的剧情看到细胞们这么努力的工作我也不能懈怠了人生，继续多吃饭多睡觉少上网的坏习惯吧。
戏喜西席	1539004353	0	0	10	13	非常喜欢了
SpetKnight	1539004312	0	0	10	13	温暖的一部番，放心吧，身体里的诸位，我会更加爱惜自己的！
随便吧12354	1539004010	0	0	10	13	很好看的一部动漫，很有教育意义，让我们了解自己的细胞工作
江汇海洋	1539002130	0	0	10	13	好看，又可以学知识
酒笙清栀_soo	1539001273	0	0	10	13	完结啦，完结啦，看完之后，受教颇多，开心
w1s2x3	1539001236	0	0	10	13	没话说，真好看！最后一集泪目！！！
拥有少女心的蓝孩子	1539000553	0	0	10	13	完结撒花，寓教于乐的一部良心番，五星好评
暗影光法零碎	1538999676	0	0	10	13	如果我初中就能看到这部番该多好(?_?)
Helen-Eoom	1538999572	0	0	10	13	好看~血小板可爱~
永远爱你们的刘导大大	1538999434	0	0	10	13	这种动漫给我来一沓
见崎鸣ミク	1538999433	0	0	10	13	感谢科普
Kirkirkirkir猫	1538999240	0	0	10	13	好喜欢这番啊
玫瑰麦格	1538999192	0	0	10	13	看哭了，非常有教育意义的一部番，如果我将来有孩子的话，我会给孩子看这部番
小欣吖_	1538999160	0	0	10	13	血小板真的是太可爱了*?(???`?)?*
糖果店的人	1538998829	0	0	10	13	很好看
您可真秀	1538998099	0	0	10	13	我tm吹爆好吧
王午全	1538997908	0	0	10	13	真好看
我是依然爱你	1538997161	0	0	10	12	我的细胞谈恋爱都这么费劲何况我呢
疯嘤侠手中的-疯嘤剑	1538997012	0	0	10	1	好好
烟花云汐	1538996814	0	0	10	13	棒棒哒~
路边的小野猫icarus	1538995987	0	0	10	13	牛逼！血小板我的
