team_name,Tm_FGA,Tm_FTA,Tm_FG,Tm_ORB,Tm_DRB,Tm_TOV,Opp_FGA,Opp_FTA,Opp_FG,Opp_ORB,Opp_DRB,Opp_TOV
俄克拉荷马雷霆,87.23333333333333,22.766666666666666,39.2,10.266666666666667,33.76666666666667,15.6,88.10000000000001,23.0,40.766666666666666,34.233333333333334,34.233333333333334,14.666666666666666
底特律活塞,87.36666666666667,24.633333333333336,38.93333333333334,9.633333333333333,34.73333333333333,11.666666666666666,87.8,18.933333333333334,40.833333333333336,35.56666666666666,35.56666666666666,12.833333333333334
奥兰多魔术,86.36666666666667,20.96666666666667,39.13333333333333,10.466666666666667,34.03333333333333,13.466666666666667,84.76666666666667,23.233333333333334,37.93333333333333,33.76666666666667,33.76666666666667,13.4
芝加哥公牛,87.3,20.366666666666664,39.13333333333333,9.566666666666668,33.93333333333333,13.199999999999998,87.2,21.599999999999998,40.36666666666667,35.6,35.6,12.833333333333334
犹他爵士,87.5,22.633333333333336,41.13333333333333,9.966666666666667,32.699999999999996,13.700000000000001,86.59999999999998,23.600000000000005,40.699999999999996,33.699999999999996,33.699999999999996,14.800000000000002
洛杉矶湖人,87.93333333333332,20.76666666666667,39.06666666666667,10.2,34.43333333333334,13.300000000000002,87.5,20.46666666666667,40.9,35.43333333333333,35.43333333333333,12.96666666666666
夏洛特黄蜂,85.76666666666665,22.46666666666667,39.73333333333333,9.533333333333333,33.333333333333336,13.033333333333333,88.10000000000001,19.966666666666665,41.833333333333336,33.86666666666667,33.86666666666667,12.333333333333334
布鲁克林篮网,88.03333333333335,20.7,39.300000000000004,10.866666666666667,33.9,12.4,84.60000000000001,21.233333333333334,39.166666666666664,34.666666666666664,34.666666666666664,13.333333333333334
华盛顿奇才,85.93333333333334,20.7,40.46666666666666,9.333333333333334,33.199999999999996,13.133333333333333,85.0,21.400000000000002,38.7,33.166666666666664,33.166666666666664,14.666666666666666
密尔沃基雄鹿,85.3,23.0,40.63333333333333,8.833333333333334,34.5,13.266666666666666,86.7,22.5,39.166666666666664,33.4,33.4,13.9
波特兰开拓者,87.13333333333333,24.3,38.733333333333334,9.766666666666666,35.1,14.833333333333334,90.86666666666667,23.766666666666666,41.833333333333336,35.9,35.9,12.566666666666668
孟菲斯灰熊,86.83333333333333,21.099999999999998,39.63333333333333,9.433333333333334,34.233333333333334,12.866666666666667,86.26666666666667,23.03333333333333,38.5,34.43333333333334,34.43333333333334,13.9
迈阿密热火,88.16666666666667,21.366666666666664,39.53333333333334,11.033333333333333,33.66666666666667,13.633333333333333,87.8,23.7,40.36666666666667,34.23333333333333,34.23333333333333,12.666666666666666
费城76人,86.63333333333333,24.23333333333333,39.96666666666667,10.533333333333333,35.46666666666667,15.5,88.33333333333333,25.433333333333334,39.73333333333333,33.26666666666667,33.26666666666667,13.533333333333333
丹佛掘金,86.96666666666665,22.833333333333332,40.86666666666667,10.0,34.06666666666667,12.633333333333335,86.03333333333335,23.3,38.63333333333333,32.93333333333333,32.93333333333333,14.0
波士顿凯尔特人,87.33333333333333,21.133333333333336,43.300000000000004,9.2,35.5,14.366666666666665,90.0,23.233333333333334,39.766666666666666,32.266666666666666,32.266666666666666,13.766666666666666
密尔沃基雄鹿,85.30000000000001,26.666666666666668,40.300000000000004,9.6,34.53333333333333,13.466666666666669,88.10000000000001,24.099999999999998,40.16666666666667,33.43333333333334,33.43333333333334,12.933333333333332
休斯顿火箭,88.76666666666667,23.100000000000005,40.86666666666667,10.733333333333334,34.73333333333334,15.0,89.60000000000001,23.066666666666666,41.5,34.800000000000004,34.800000000000004,13.733333333333334
多伦多猛龙,87.63333333333333,24.26666666666667,39.5,10.466666666666667,32.666666666666664,15.066666666666668,87.66666666666667,27.066666666666666,41.5,34.8,34.8,14.200000000000001
新奥尔良鹈鹕,87.09999999999998,20.933333333333334,39.93333333333333,9.733333333333333,32.766666666666666,13.399999999999999,85.43333333333332,23.366666666666664,39.76666666666667,34.76666666666667,34.76666666666667,14.1
圣安东尼奥马刺,88.13333333333333,22.5,41.300000000000004,11.6,34.166666666666664,13.9,87.16666666666667,21.53333333333333,41.0,32.0,32.0,12.633333333333333
明尼苏达森林狼,87.26666666666667,24.333333333333332,40.733333333333334,11.066666666666668,32.06666666666667,12.633333333333333,86.0,21.933333333333334,40.63333333333333,32.26666666666667,32.26666666666667,14.200000000000001
印第安纳步行者,89.76666666666667,25.066666666666666,40.666666666666664,12.466666666666667,34.1,13.933333333333332,85.93333333333334,23.166666666666668,39.5,33.3,33.3,14.833333333333334
洛杉矶快船,87.89999999999999,22.666666666666668,40.36666666666667,10.699999999999998,35.03333333333333,13.133333333333335,87.33333333333333,23.8,39.53333333333333,33.4,33.4,12.233333333333334
亚特兰大老鹰,82.83333333333333,23.233333333333334,38.53333333333333,9.433333333333332,34.8,13.933333333333332,84.43333333333334,21.1,37.8,32.56666666666667,32.56666666666667,13.166666666666666
纽约尼克斯,85.0,20.866666666666667,37.7,8.700000000000001,32.96666666666667,12.200000000000001,83.96666666666668,21.900000000000002,39.1,35.699999999999996,35.699999999999996,13.5
克里夫兰骑士,86.23333333333333,25.366666666666664,39.43333333333333,10.033333333333333,33.266666666666666,13.5,86.96666666666665,21.866666666666664,40.400000000000006,33.699999999999996,33.699999999999996,14.299999999999999
菲尼克斯太阳,83.63333333333333,22.5,37.0,9.700000000000001,31.96666666666667,13.366666666666667,80.8,26.166666666666668,36.5,33.76666666666667,33.76666666666667,14.1
金州勇士,89.09999999999998,22.26666666666667,41.833333333333336,9.466666666666667,35.66666666666667,13.766666666666666,91.26666666666667,21.566666666666666,41.7,35.7,35.7,13.433333333333332
萨克拉门托国王,85.8,21.3,40.199999999999996,9.833333333333334,34.36666666666667,12.466666666666669,85.8,20.0,38.93333333333334,33.233333333333334,33.233333333333334,13.1