球队名称,投篮命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,助攻,盖帽,抢断,失误,得分,失分
亚特兰大老鹰队,45.1,35.2,75.2,11.6,34.5,25.8,5.1,8.2,16.6,113.3,119.4
夏洛特黄蜂队,44.8,35.1,79.7,10.0,33.9,23.2,5.0,7.2,11.6,110.7,111.8
迈阿密热火队,45.0,34.9,69.5,11.3,35.1,24.3,5.5,7.6,14.1,105.7,105.9
奥兰多魔术队,45.4,35.6,78.2,10.0,35.4,25.5,5.5,6.6,12.6,107.3,106.6
华盛顿奇才队,46.8,34.1,76.8,9.7,32.6,26.3,4.6,8.4,13.6,114.0,116.9
芝加哥公牛队,45.3,35.1,78.3,8.7,34.2,21.9,4.3,7.4,13.5,104.9,113.4
克里夫兰骑士队,44.4,35.5,79.2,10.7,32.0,20.7,2.4,6.5,12.7,104.5,114.1
底特律活塞队,44.0,34.8,74.7,11.5,33.6,22.5,4.0,7.0,13.0,107.0,107.3
印第安纳步行者队,47.5,37.4,75.2,9.3,33.7,26.0,5.0,8.7,13.3,108.0,104.7
密尔沃基雄鹿队,47.6,35.2,77.3,9.3,40.5,26.0,5.9,7.5,13.3,118.1,109.3
布鲁克林篮网队,44.9,35.3,74.5,11.0,35.6,23.8,4.2,6.6,14.4,112.2,112.3
波士顿凯尔特人队,46.5,36.5,80.2,9.8,34.7,26.3,5.3,8.6,12.4,112.4,108.0
纽约尼克斯队,43.3,34.0,75.9,10.5,34.3,20.1,5.2,6.8,13.4,104.6,113.8
费城76人队,47.1,35.9,77.1,10.9,36.9,26.9,5.3,7.4,14.4,115.2,112.5
多伦多猛龙队,47.4,36.6,80.4,9.6,35.6,25.4,5.3,8.3,13.3,114.4,108.4
金州勇士队,49.1,38.5,80.1,9.7,36.5,29.4,6.5,7.6,13.7,117.7,111.2
洛杉矶快船队,47.2,38.7,79.2,9.7,35.8,24.0,4.7,6.8,13.8,115.1,114.3
洛杉矶湖人队,47.0,33.3,69.9,10.2,36.4,25.6,5.4,7.5,15.2,111.8,113.5
菲尼克斯太阳队,45.9,32.9,77.9,9.1,31.3,23.9,5.1,9.0,15.2,107.5,116.8
萨克拉门托国王队,46.4,37.8,72.6,11.0,34.4,25.4,4.4,8.3,12.9,114.2,115.3
丹佛掘金队,46.6,35.1,75.5,11.9,34.5,27.4,4.5,7.7,12.8,110.7,106.7
明尼苏达森林狼队,45.6,35.1,78.7,11.3,33.5,24.6,5.0,8.3,12.6,112.5,114.0
俄克拉荷马雷霆队,45.4,34.8,71.3,12.6,35.5,23.4,5.2,9.4,13.7,114.5,111.1
波特兰开拓者队,46.7,35.9,81.4,11.8,36.2,23.0,5.0,6.6,13.3,114.7,110.5
犹他爵士队,46.8,35.6,73.6,10.0,36.4,26.0,5.9,8.1,14.8,111.7,106.5
达拉斯独行侠队,44.7,34.0,74.2,10.1,35.2,23.4,4.3,6.5,13.6,108.9,110.1
休斯顿火箭队,44.9,35.6,79.1,10.2,31.8,21.2,4.9,8.6,12.6,113.9,109.1
孟菲斯灰熊队,45.0,34.2,77.2,8.8,33.0,23.9,5.5,8.3,13.2,103.5,106.1
新奥尔良鹈鹕队,47.3,34.4,76.1,11.1,36.2,27.0,5.4,7.4,14.5,115.4,116.8
圣安东尼奥马刺队,47.8,39.2,81.9,9.2,35.5,24.5,4.7,6.1,11.8,111.7,110.0